te	gloss	pos	status
అపై	apply (spelling variant of అప్లై)	noun/verb stem (English loan, with చేయు 'to do')	draft
అదుగోచూడు	look, there it is! (adugo + chūḍu)	interjection + verb — imperative	draft
ఇల్లంతా	the whole house (illu 'house' + antā 'all')	noun phrase	draft
మొదలు	beginning; (here) starting with, and such	noun/postposition	draft
పోతూ	"going; here part of ""nidra pōtū"" = sleeping (from pōvu)"	verb — imperfective participle	draft
ఎర్రది	the red one (from ఎర్ర 'red' + -ది)	pronominal noun — neuter sg	draft
చేతులలో	in the hands (from చేయి 'hand')	noun — locative plural	draft
అడిగినంత	as much as (she) asked for; from అడుగు 'to ask'	verb — past participle + నంత 'as much as'	draft
తోటల్లో	in the gardens/orchards (from తోట)	noun — locative plural	draft
ఆరున్నరకు	at six thirty (from ఆరున్నర, six-and-a-half)	noun — dative/temporal	draft
అక్లేదు	isn't needed, don't want (from అక్కరలేదు)	verb — negative, impersonal	draft
గాయత్రీ	Gayatri (name of a cinema hall)	name	draft
వెళ్ళరా	go! (familiar masc. command; from వెళ్ళు)	verb — imperative, 2sg masc familiar	draft
కొట్టుకుంటున్నాయి	are banging (against each other); from కొట్టుకొను	verb — present continuous, 3rd pl neuter	draft
పన్నెండింటికి	at twelve (o'clock); dative of పన్నెండు 'twelve'	numeral — dative	draft
వెళ్ళబోతున్నావన్నమాట	so you're about to go (it means)	verb phrase — future progressive, 2sg + quotative 'annamāṭa'	draft
అదావిషయం	"""is that the matter?"" (అది + ఆ + విషయం)"	phrase (fused: pronoun + noun)	draft
మోడల్సు	models, designs (English loan, plural)	noun — plural	draft
తడిసిపోయాయి	got soaked, became wet (of them); from తడిసిపోవు	verb — past, 3rd pl neuter	draft
అల్లుడి	son-in-law's (from అల్లుడు)	noun — oblique/possessive, sg	draft
గలవని	that (they) can/are able — గలవు + అని (quotative)	verb — potential, neut. pl. + quotative	draft
పెసరట్టు	pesarattu, dosa made from green gram	noun	draft
నన్నాడు	said (that) — from అను 'to say'; part of వస్తానన్నాడు	verb — past, 3sg masc (fragment)	draft
జిల్లాలలో	in the districts (జిల్లా, plural locative)	noun — plural locative	draft
మస్తున్నట్లు	as if/seems to be coming (OCR of వస్తున్నట్లు, from వచ్చు)	verb — adverbial/quotative form	draft
గంగాధరంగారు	Mr. Gangadharam (name + honorific -gāru)	name — nominative with honorific	draft
దిగులు	worry, anxiety (in దిగులు పడకండి 'don't worry')	noun	draft
మంచివాడేనా	is he a good man? (from మంచివాడు 'good man' + emphatic + question)	noun + interrogative particle	draft
తొలిచిన	carved out, hollowed (rel. participle of తొలుచు)	verb — relative participle (past)	draft
మోడలే	this same model (model + emphatic -ē)	noun with emphatic particle	draft
ఒకతెనే	only one (female) — from ఒకతె 'one woman' + emphatic నే	pronoun/numeral — fem. sg. with emphatic -ē	draft
నిల్పోండి	stand (there); wait — polite imperative of నిలబడు/నిల్చు	verb — imperative, polite	draft
ఎర	bait, lure	noun	draft
పెసరట్లు	pesarattu (mung-bean dosas); plural of పెసరట్టు	noun — plural	draft
తొమ్మిదిమంది	nine people (తొమ్మిది 'nine' + మంది classifier)	numeral phrase (human)	draft
చాలమ్మా	that's enough, dear! (chālu + ammā)	verb/interjection — 'enough' + address particle	draft
అక్కడున్నాడు	is there (అక్కడ + ఉన్నాడు, 'be' 3sg masc)	adverb + verb — present, 3sg masc	draft
నోటిలోనికి	into the mouth (from నోరు)	noun — dative/illative form	draft
అరికష్టవబ్చునని	that (it) can be curbed/checked (from అరికట్టు)	verb — quotative, potential	draft
తెలుసుకోటం	knowing, learning (verbal noun of తెలుసుకోవడం)	verbal noun	draft
డానే			ocr-junk
చెయ్యకూడదు	should not do (with వృథా: should not waste); from చేయు	verb — negative obligation (prohibitive)	draft
ఎత్తగలను	I can lift (from ఎత్తు, 'to lift')	verb — potential, 1sg	draft
వస్తేనే	only if (he) comes; from వచ్చు 'to come'	verb — conditional + emphatic -ఏ	draft
అనిపించ	to make (one) say; cause to say — stem of అనిపించు	verb — infinitive stem	draft
వచ్చేటట్లు	so as to come; that (you) would come; from వచ్చు 'to come'	verb — adverbial/manner form	draft
ఎవరితోనూ	with anyone (at all) — from ఎవరు 'who'	pronoun — comitative/instrumental + emphatic	draft
నమ్మాలి	should believe (from నమ్ము, to believe)	verb — obligative/necessitative	draft
అందదు	won't be caught/reached (from అందు)	verb — negative, 3sg neuter	draft
ఏడింటికి	at seven (o'clock); from ఏడు 'seven'	noun — dative/temporal form	draft
ఉండలేక	unable to remain/stay (from ఉండు)	verb — negative capability adverbial	draft
రైట్	Wright (surname of the Wright brothers)	name	draft
లేరా	are there not? (of people); లేరు + question -ఆ	verb — negative existential, 3pl human, interrogative	draft
ఆసలు	at all (emphatic negation); from అసలు	adverb	draft
అల్లుతావా	will you weave/knit? (from అల్లు, to weave)	verb — future 2sg, interrogative	draft
తుంది			ocr-junk
చూద్దువుగాని	(we'll) see it later — from చూడు 'to see'	verb — hortative + గాని 'later, sometime'	draft
ఉంటావా	will you be/stay? (from ఉండు, to be)	verb — future, 2sg, interrogative	draft
తరుగుతు	cutting, chopping (from తరుగు; part of తరుగుతున్నప్పుడు 'while cutting')	verb — imperfective participle	draft
తున్నారు	(they) are ...-ing — continuous ending, split from నేర్పుతున్నారు	verb ending (fragment)	draft
యాచించేవాడు	one who begs, beggar (from యాచించు, to beg)	noun — agentive, masc sg	draft
దాస్తావు	you hide/conceal (from దాచు, to hide)	verb — present-future, 2sg	draft
అందోపోతే	if (it) isn't reached/grasped (from అందు)	verb — negative conditional	draft
మామగారింటికి	to/at my father-in-law's house (dative of మామగారి ఇల్లు)	noun — dative sg	draft
శ్రేణిలో	in the range/row (of hills); from శ్రేణి	noun — locative sg	draft
దొరికాయా	were (they) found/available? (from దొరుకు)	verb — past, 3pl neut, interrogative	draft
ఒకగంట	one hour (ఒక + గంట)	noun phrase	draft
పర్వతం	mountain (here in అగ్ని పర్వతం, 'volcano')	noun	draft
మెట్లకు	to the steps/stairs (dative pl. of మెట్టు)	noun — dative plural	draft
కనిపిస్తే	if (he) is seen/appears; from కనిపించు	verb — conditional	draft
మాటలతో	with talk/chatter (మాట 'word', pl. + -తో)	noun — instrumental plural	draft
రాజారామ్గారూ	Mr. Rajaram! (vocative, with honorific -gāru)	name — vocative	draft
డెబ్బయ్యో	or seventy (approximate, with -o suffix); from డెబ్బై	numeral — with disjunctive/approximative -o	draft
పిలిచాను	I called (from పిలువు, to call)	verb — past, 1sg	draft
చేరదామనుకుంటున్నార్టు	they apparently intend to join (from చేరు, to join)	verb — present, 3pl, hearsay/quotative	draft
ఇస్తానే	I will give (back), dear — from ఇవ్వు 'give'	verb — future, 1sg + familiar particle -ఏ	draft
నీదా	yours? (నీది 'yours' + question marker -ā)	pronoun — possessive, interrogative	draft
పోయి	having gone, go (and) — from పోవు	verb — perfective participle	draft
వెళ్ళలేదండి	did not go, sir (from వెళ్ళు 'to go' + polite అండి)	verb — negative past + polite particle	draft
పెందలాడే	early (emphatic of పెందలాడ 'early')	adverb — emphatic form	draft
పిలవలేదు	didn't call (negative past of పిలుచు 'to call')	verb — negative past, 3sg	draft
బాగున్నారు	is/are well (from బాగున్నాడు; బాగు + ఉన్నారు, honorific)	verb — present, 3rd person honorific	draft
చేతనే	by (Jyoti) herself — instrumental చేత + emphatic -ఏ	postposition (emphatic instrumental)	draft
ముసలివాడి	an old man (oblique, with 'lāgā' = like an old man); from ముసలివాడు	noun — oblique sg	draft
చిన్నకర్రకు	to the small stick (చిన్నకర్ర + dative)	noun — dative	draft
కెనరా	Canara (as in Canara Bank)	name	draft
ఉపయోగపడ	to be useful (stem with సాగింది: began to be useful)	verb — infinitive stem of ఉపయోగపడు	draft
చదివినా	even though (I) read; from చదువు 'to read'	verb — concessive form	draft
చూపి	"showing (part of ""chūpistunnāḍu"", from chūpu 'to show')"	verb — imperfective stem	draft
తెలిసి	knowing (having known); from తెలియు	verb — past participle	draft
నువ్వెవరివి	who are you (నువ్వు + ఎవరివి)	pronoun + predicate, 2sg	draft
లెక్చరర్	lecturer (English loanword)	noun	draft
ఏడుస్తున్నది	is crying (from ఏడ్వు, to cry)	verb — present continuous, 3sg	draft
శేఖర్	Sekhar (man's personal name)	name	draft
ఒడలు	body (bodies); from ఒడలు 'body'	noun (plural/nominative)	draft
వెళ్ళిరండి	you go (and come back) — imperative of వెళ్ళిరా	verb — imperative, 2pl/honorific	draft
పారిపోతున్నాడు	he is running away (from పారిపోవు)	verb — present progressive, 3sg masc	draft
నిల్చుంటున్నాడు	is standing (up); from నిల్చు 'to stand'	verb — present continuous, 3sg masc	draft
చాముండి	Chamundi (name of a hill in Mysore)	name	draft
పోయాడు	went (away); from పోవు 'to go'	verb — past, 3sg masc	draft
పండుతాయండీ	they grow/ripen, sir (polite); from పండు	verb — present-future, 3rd pl + polite particle	draft
పెద్దమ్మాయికి	for/to the eldest daughter (dative of పెద్దమ్మాయి)	noun — dative sg	draft
ఇక్కడేం	what … here (ఇక్కడ 'here' + ఏం 'what')	adverb + interrogative pronoun (contraction)	draft
గోపాలరావ్ర	Gopala Rao (personal name; text for గోపాలరావు)	name	draft
చిన్వదైవోతున్నట్లు	as if becoming smaller (చిన్నదైపోవు); OCR-garbled	verb — adverbial/quotative form	draft
అక్కడివారు	the people there; locals (అక్కడి + వారు)	noun — plural	draft
పోనిచ్చారు	let (us) go/pass, allowed in (from పోనిచ్చు)	verb — past, 3pl honorific	draft
ఇంటతని	landlord, house-owner (oblique of ఇంటతడు)	noun — oblique/genitive sg	draft
మహాత్మాగాంధీ	Mahatma Gandhi (here possessive: Gandhi's)	name	draft
దాచాడు	hid (them); from దాచు 'to hide'	verb — past, 3sg masc	draft
నీకొక	to you a (thing) — నీకు + ఒక	pronoun (dative) + numeral/article, contracted	draft
శర్మగారూ	Mr. Sarma! (respectful vocative, from శర్మగారు)	name — vocative, honorific	draft
ఏరుతోంది	is picking up/gathering (from ఏరు)	verb — present continuous, 3sg fem	draft
చూశారు	(you/they) saw, have seen — from చూడు 'to see'	verb — past, 3rd person plural/honorific	draft
బయలు	in 'బయలుదేరు' = to set out/depart	noun (part of compound verb)	draft
వస్తోమో	whether they will come (from వచ్చు 'to come')	verb — dubitative, 3pl	draft
టెడ్	bread (misprint of బ్రెడ్)	noun	draft
ఫీ్లలో			ocr-junk
జ్యోతిగారూ	"""Ms. Jyothi!"" — polite address to Jyothi"	name — vocative, with honorific -గారు	draft
చాలాసేపు	for a long time, long ago	adverb (chālā + sēpu 'much time')	draft
కొనిపించాను	I got (it) bought (from కొను, causative past 1sg)	verb — causative past, 1sg	draft
దగ	with, in one's possession (truncated దగ్గర)	postposition (OCR-truncated)	draft
గోపీకీ	and to Gopi (dative of Gopi + -కీ 'and')	name — dative with conjunctive -కీ	draft
రావటానికి	to come/go (dative of verbal noun; from రా/రావు 'come')	verbal noun — dative	draft
అనుకున్నట్లే	just as (we) planned — from అనుకొను	verb — past adverbial + emphatic -ఏ	draft
దాటింది	exceeded, crossed (from దాటు)	verb — past, 3sg neuter	draft
అకా	sister! (vocative of అక్క, elder sister)	noun — vocative	draft
బుధవారమన్న	"""(that it's) Wednesday"" — బుధవారము + అన్న (అను, to say)"	noun + relative participle	draft
దీన్నిఆ	"run-together of దీన్ని ""this (obj.)"" + ఆ ""that"""	pronoun (acc.) + demonstrative — spacing error	draft
పోయిన	"last, past (in ""last year""); from పోవు 'to go'"	adjective — past participle used attributively	draft
కొందాం	let's buy (from కొను, to buy)	verb — hortative, 1pl	draft
తోడుబెట్టడం	setting curd (adding starter to milk); from తోడుపెట్టు	verbal noun	draft
పేరేమిటో	what your name is (pēru 'name' + ēmiṭō 'what')	noun phrase	draft
చదవకపోయినా	even if (you) don't read (from చదువు, to read)	verb — negative concessive	draft
వాడికెన్నో	he has so many (things) — వాడికి + ఎన్నో	pronoun (dative) + quantifier	draft
వాళ్ళిద్దరికీ	"for both of them (dative of ""vāḷḷiddaru"", those two)"	pronoun — dative dual/plural + emphatic -ī	draft
పాటలురావు	"""songs don't come"" — i.e. he doesn't know (any) songs"	noun + verb (పాటలు + రావు, neg. of రా)	draft
అదినా	that (thing) — with me; from అది + నా	pronoun + possessive	draft
అటెండరువి	you are an attender (attender + 2sg 'are')	noun + predicative suffix, 2sg (from అటెండరు)	draft
గిర్కి	Giri (personal name), garbled in OCR	name	draft
ఎక్కడో	somewhere (from ఎక్కడ 'where' + -ఓ)	adverb	draft
పూలా	flowers? (pl. of పువ్వు + question/or particle -ఆ)	noun — plural + interrogative clitic	draft
నేనివ్వేళ	I ... today (nēnu + ivvēḷa)	pronoun + adverb (contraction)	draft
పుట్టింది	was born, arose (from పుట్టు 'to be born')	verb — past, 3sg neuter	draft
అరబిపండు	banana (a variety)	noun	draft
మార్కెట్టులోకి	into the market (from మార్కెట్టు)	noun + locative-allative case	draft
అల్ర్రావయలెట్	ultraviolet (English loanword)	noun (loanword, misspelled)	draft
నూట	one hundred (combining form, from నూరు)	numeral	draft
కురవలేదండీ	did not fall/rain (polite) — from కురియు 'to rain'	verb — negative past + polite particle అండీ	draft
రైలుస్టేషనుకు	to the railway station (రైలుస్టేషను + dative)	noun — dative	draft
తగ్గుతోంది	is decreasing/subsiding (from తగ్గు)	verb — present progressive, 3sg neut	draft
టేప్రికార్డరా	tape recorder? (with question marker -ā)	noun + interrogative particle	draft
పళ్ళుతోముకో	brush your teeth! (imperative of పళ్ళు తోముకొను)	verb phrase — imperative, 2sg	draft
రామారావ్రగారూ	Mr. Ramarao! (vocative address)	name — vocative, honorific	draft
ర్			ocr-junk
వేం			ocr-junk
విద్యుచ్భక్తిని	electricity (obj. of విద్యుచ్ఛక్తి, electric power)	noun — accusative	draft
వదినవి	my sister-in-law's (plural possessive of వదిన)	noun — possessive, plural agreement	draft
అందరికంటే	than everyone (అందరు + కంటే, comparative)	pronoun + postposition	draft
ఎక్కితే	if/when (I) get on (a swing); from ఎక్కు 'to climb, mount'	verb — conditional	draft
క్రితమే	ago (just two days ago); from క్రితం + emphatic ఏ	postposition/noun with emphatic -ఏ	draft
తెరుద్దామా	shall we open? (from తెరువు, to open)	verb — hortative question, 1pl	draft
బుణాలు	loans (plural of ఋణం, spelled బుణాలు)	noun — plural	draft
మెట్రిక్	Metric (matriculation exam)	noun (English loan)	draft
కాస్తుకూ	for every landholding (from కాస్తు 'holding')	noun — dative + emphatic -ū	draft
కాజేసారురా	stole/swiped (it) — from కాజేయు, + ra addressee particle	verb — past, 3rd person honorific/plural	draft
రెండర్జాలున్నాయా	"""are there two meanings?"" (రెండు అర్థాలు ఉన్నాయా)"	phrase — noun + verb, interrogative	draft
దిగటం	getting down, descending (verbal noun of దిగు)	verbal noun	draft
కొబ్బరికాయలు	coconuts (plural of కొబ్బరికాయ)	noun — plural	draft
విజయనగర	Vijayanagara (empire name), attributive	name (attributive)	draft
ఇల్లెక్కడ	where is the house (ఇల్లు + ఎక్కడ)	noun + interrogative adverb	draft
ఇక్కడున్నారు	are here (ఇక్కడ + ఉన్నారు, from ఉండు 'to be')	verb — present, 3pl honorific	draft
చూపిద్దాం	let's show (him to the doctor); from చూపు 'to show'	verb — hortative, 1pl	draft
నీవేనా	is it you/yours? (నీవు + ఏనా interrogative)	pronoun — 2sg possessive predicate + question particle	draft
చేర్తాను	I will join/enroll (from చేరు, to join)	verb — future, 1sg	draft
చాలుతుంది	will be enough, will suffice (from చాలు)	verb — future/habitual, 3sg neut	draft
సర్వే	all right, okay (for సరే)	interjection	draft
చినిగాయో	how they got torn (from చినుగు, to tear)	verb — past, 3pl neut + interrogative -ఓ	draft
ఊడవాలి	must sweep (from ఊడ్చు, to sweep)	verb — obligative/necessitative	draft
పూల	of flowers (oblique pl. of పువ్వు)	noun — oblique plural	draft
జరగదు	will not happen/get done (from జరుగు)	verb — negative future, 3sg neut	draft
పంపిస్తావా	will you send? (from పంపించు, to send)	verb — future/habitual, 2sg, interrogative	draft
సులభంగానే	quite easily (from సులభం 'easy')	adverb — with emphatic -ఏ	draft
కోరుతున్నారు	am requesting (from కోరు, to request)	verb — present continuous, honorific	draft
ఖాలీగా	vacant, empty (adverbial of ఖాలీ)	adverb	draft
వాళ్ళివరు	who are the ones (coming)? [వాళ్ళు + ఎవరు]	pronoun phrase (sandhi)	draft
ఊపవద్దు	don't swing/rock (it) — prohibitive of ఊపు	verb — negative imperative	draft
అత్తగారింటికి	to (her) mother-in-law's house (అత్తగారు + ఇంటికి)	noun — dative	draft
ఏమోనండీ	who knows, sir! (ఏమో + polite అండీ)	interjection/expression	draft
పి	"""P."" — initial in a name"	letter/initial	draft
పోనివ్వకు	don't let (him) go; from పోనివ్వు 'to let go'	verb — negative imperative, 2sg	draft
తీసుకుపోతున్నారు	are taking (him) away; from తీసుకుపోవు	verb — present progressive, 3pl	draft
సేపటి	of time/while — in 'ఎంత సేపటిలోగా' = within how long; from సేపు	noun — oblique of సేపు	draft
కాఫీనా	coffee? (కాఫీ + question marker -ఆ)	noun + interrogative particle	draft
ఏమేమి	what all (things); reduplicated ఏమి 'what'	interrogative pronoun	draft
పెడ్డుర్నార్రుకుంటాను			ocr-junk
ఎవడైనా	whoever, anyone (masc.); from ఎవడు + ఐనా	pronoun — indefinite	draft
సుబ్బరఒ	Subbarao (personal name; OCR-garbled సుబ్బారావు)	name	draft
నాలుగింటికి	at four (o'clock); dative of నాలుగు 'four'	numeral — dative	draft
ఏమైంది	what happened?; from ఏమి అగు 'to become what'	verb — past, 3sg neuter	draft
ఛెప్పండి	please tell (polite imperative of చెప్పు 'to tell')	verb — imperative, polite	draft
కారొలైనా	Carolina (as in North Carolina)	name	draft
చదువుకోసం	for (your) studies/education (చదువు + కోసం)	noun + postposition	draft
మరాఠీ	Marathi (language/people); here: Marathi (woman)	adjective/noun	draft
నవ్వరా	laugh! (imperative to a male; from నవ్వు)	verb — imperative, 2sg masc	draft
నోటికి	to the mouth; in 'నోటికి రావు' = to be known by heart (నోరు)	noun — dative sg of నోరు 'mouth'	draft
తెగింది	got cut (from తెగు, to be cut/severed)	verb — past, 3sg neut	draft
పాసవుతాడని	that he will pass (from పాసవు, to pass)	verb — future 3sg masc + quotative -ani	draft
రామ్మా	come, dear! (రా + అమ్మా, affectionate imperative)	verb — imperative + vocative particle	draft
వెలిగించండి	(you) light it, switch it on — polite imperative of వెలిగించు	verb — imperative, honorific/plural	draft
ఎందు	"why (part of ""endukū"" = why)"	interrogative pronoun (split form of ఎందుకు)	draft
వినకుండా	without listening (to me); from విను 'to hear'	verb — negative absolutive/adverbial	draft
రామూకు	to Ramu (dative of the name Rāmū)	name — dative	draft
నమస్మాయండ్నీ	greetings, sir! (colloquial for నమస్కారమండి)	interjection (dialectal)	draft
ఆఫీసర్ని	the officer (object) — from ఆఫీసర్	noun — accusative singular	draft
మైసూరులో	in Mysore (locative of మైసూరు)	proper noun — locative	draft
అఈదు	five (OCR variant of ఐదు)	numeral	draft
అడగలేదు	did not ask (from అడుగు, to ask)	verb — negative past, 3rd person	draft
ఆగస్టు	August (month name)	noun (proper)	draft
కనుగొనవలసి	needing to be found out (from కనుగొను, 'to find out')	verb — obligative participle (with ఉన్నది: 'must be discovered')	draft
కేరంబోర్డు	carrom board (the game carroms)	noun	draft
మోసగాడు	cheat, deceiver, swindler	noun, masc. sg.	draft
ఉండకపోవచ్చు	might not have (been); from ఉండు 'to be'	verb — negative potential, 3sg	draft
అందుతుందా	will (we) catch/reach it? — from అందు 'to reach, be got'	verb — present-future 3sg neut, interrogative	draft
నెలలోనే	in the very month (month + in + emphatic -ē); from నెల	noun — locative with emphatic particle	draft
పడ్తుందట	apparently it will fall/take (hearsay; from పడు)	verb — future/habitual 3sg + reportative అట	draft
తిప్పుకున్నాను	I turned/have turned it (for myself); from తిప్పుకొను	verb — past, 1sg reflexive	draft
మొదలవు	begin, start (from మొదలవు; here మొదలవుతాయి 'they start')	verb — stem, split across line break	draft
తుడు	wipe/clean it! (imperative of తుడుచు)	verb — imperative, 2sg	draft
అయిం	"(part of అయింది) ""it has been/become""; from అగు"	verb fragment — past, 3sg neut	draft
వైద్యణాలను	clinics/dispensaries (obj.); garbled వైద్యశాలలను	noun — accusative plural (OCR-garbled)	draft
యిల్లు	house (variant of ఇల్లు)	noun	draft
సీసా	bottle	noun	draft
అక్కజ్ణించి	from there (akkaḍa + nuñci)	adverb + postposition	draft
కామ్బాత్సా	Kamchatka (peninsula name)	name	draft
దిగమని	telling (me) to get down; from దిగు 'descend'	verb — imperative + quotative -ani	draft
నవలలన్లీ	all the novels (from నవల 'novel' + అన్నీ 'all')	noun phrase — plural + 'all'	draft
చెయ్యడు	he will not do (from చేయు 'to do')	verb — negative future, 3sg masc	draft
ఎనిమిదివుందిలో	out of the eight (people); from ఎనిమిదిమంది + -లో	noun phrase — locative	draft
రవు			ocr-junk
బొమ్ముంది	there is an idol (బొమ్మ + ఉంది)	noun + verb — present, 3sg neut	draft
రాళ్ళు	stones (plural of రాయి)	noun — plural	draft
ర్షెలు	train (garbled OCR of రైలు)	noun	draft
కీ	key (winding); here: to wind up at night	noun (English loanword)	draft
అనవలసి	having to say (from అను, 'to say'); in అనవలసి వచ్చింది = 'had to say'	verb — obligative participle	draft
ఆడుకున్నాను	I played (from ఆడుకొను, to play)	verb — past, 1sg	draft
చూడలేదండి	did not see, sir (chūḍu + neg. + polite -aṇḍi)	verb — negative past, 1sg, polite	draft
వెళ్లకు	don't go (negative imperative of వెళ్ళు, to go)	verb — negative imperative, 2sg	draft
నువ్వునీ	you — your (books); from నువ్వు + నీ	pronoun + possessive (run-together)	draft
కట్టిస్తాను	I will have (it) made/tied — causative of కట్టు	verb — causative future, 1sg	draft
తున్నాయి	are ...-ing (progressive aux, 3rd pl non-human)	verb — present continuous, 3pl neuter	draft
తగిలింది	was struck/hit (injury occurred); from తగులు	verb — past, 3sg neut	draft
కోప్పడ	scold/be angry — cut-off stem of కోప్పడు (line-break fragment)	verb — truncated form	draft
ఎవరిల్లు	whose house? (ఎవరి + ఇల్లు)	interrogative phrase (noun)	draft
అనవసరం	unnecessary, of no concern (to me)	noun/adjective (predicate)	draft
ఆయుష్షు	lifespan, length of life	noun	draft
ఇటువైపు	around here, in these parts (this side)	adverb	draft
నాకీ	to me this (నాకు 'to me' + ఈ 'this')	contraction — pronoun dative + demonstrative	draft
కొబ్బరి	"coconut (in ""coconut groves"")"	noun	draft
పదింబావు	quarter past ten (10:15)	noun (time expression)	draft
వచ్చాడండీ	he came (polite/respectful) — from వచ్చు, 'to come'	verb — past, 3sg masc + polite particle -అండీ	draft
వస్తోందా	is (it) coming/arriving? (from వచ్చు)	verb — present progressive, 3sg neut, interrogative	draft
చుట్టూతోటుంది	around (it) there is a garden (చుట్టూ + తోట + ఉంది)	phrase — adverb + noun + verb	draft
మనవరాలిని	"granddaughter (predicative: ""I am the granddaughter""); from మనవరాలు"	noun — predicative 1sg form	draft
అల్లి	knitted (from అల్లు, to knit/weave)	verb — past stem in అల్లినప్పుడు 'when I knitted'	draft
ప్రతిబింబిస్తుంటుంది	keeps reflecting (from ప్రతిబింబించు 'to reflect')	verb — habitual present, 3sg neut	draft
ఇల్లే	house itself (ఇల్లు + emphatic -ఏ)	noun — emphatic form of ఇల్లు	draft
గోడకుర్సీ	wall-sit, the 'wall chair' punishment posture	noun	draft
పోతున్నావు	you are going (from పోవు, to go)	verb — present continuous, 2sg	draft
అనుకోలేదు	did not think (from అనుకొను, to think)	verb — negative past, 1sg	draft
చెట్టుమీదినుంచి	from atop the tree (చెట్టు + మీది + నుంచి)	noun + postpositions	draft
రాత్రిపూట	at night, during the night	adverb (noun compound: రాత్రి + పూట)	draft
నాలుగింటికే	at four o'clock itself (from నాలుగు 'four')	noun — dative + emphatic particle -ఏ	draft
ఆరిటిపళ్ళు	bananas (plural of అరటిపండు)	noun — plural	draft
నిల్ఫోమను	tell (her) to stand; from నిల్చో + అను (say)	verb — imperative, 'tell to stand'	draft
కొడ్తున్నారు	is/are knocking, striking (from కొట్టు, to hit)	verb — present continuous, 3rd person plural/honorific	draft
చేప్పగలనయ్యా	how can I tell, sir? (I am able to tell); from చెప్పు	verb — potential, 1sg + vocative particle	draft
ఇప్పటిదాకా	until now, so far	adverb	draft
వెళ్లకండి	don't go (from వెళ్లు, to go)	verb — negative imperative, polite/plural	draft
తున్నావు	"""(you) are ...-ing"" — present-continuous 2sg ending, split from చదువుతున్నావు"	verb ending — present continuous, 2sg	draft
చేయ్యటొనికి	in order to do/perform (from చేయు)	verb — infinitive/purposive (dative verbal noun)	draft
రామారావ్	Ramarao (man's name, vocative)	name — vocative	draft
ఇచ్చినప్పుడే	right when (they) gave (from ఇవ్వు/ఇచ్చు, to give)	verb — past relative + adverbial 'when' + emphatic -ఏ	draft
వెళ్తూ	going (continuously) — from వెళ్ళు 'to go'	verb — imperfective participle	draft
అతనింత	he (was) such a ... — అతను + ఇంత	pronoun + intensifier	draft
అల్లితే	if (you) weave/knit (from అల్లు)	verb — conditional	draft
పెట్టుకొని	having set (for oneself); from పెట్టుకొను	verb — adverbial participle	draft
ఆఫీసరు	officer (from English 'officer')	noun	draft
పన్నెండుమంది	twelve (people)	numeral (human) — from పన్నెండు 'twelve' + మంది 'persons'	draft
చేతకావటంలేదు	am not able to (do it); can't manage — from చేతకావు	verb — negative present, 1sg	draft
బైల్దేర్దామా	shall we set out? (from బయలుదేరు)	verb — hortative, 1pl	draft
సెలవే	"holiday (emphatic: ""is a holiday""); from సెలవు"	noun + emphatic particle -ఏ	draft
కొనేటప్పుడు	while buying (from కొను, to buy)	verb — temporal adverbial clause	draft
మరాఠీవారు	Marathi person/people (honorific plural)	noun — plural/honorific of మరాఠీవాడు	draft
ఏముందో	what there is (in it) — ఏమి + ఉన్నది, dubitative	verb phrase — 'what is', embedded question	draft
అనుకుంటాడు	thinks, considers (from అనుకొను)	verb — present/future, 3sg masc	draft
నిన్నకొత్త	"yesterday — from నిన్న; here fused with కొత్త ""new"""	adverb (+ adjective, run together)	draft
బాగుండదు	it won't look good/proper (neg. of బాగుండు)	verb — negative, 3sg neuter	draft
యింకొక	another, one more (= ఇంకొక)	adjective/determiner	draft
కనిపిస్తున్నది	is visible; can be seen (from కనిపించు)	verb — present continuous, 3sg neuter	draft
తక్కువే	little indeed, not much (from తక్కువ 'less')	adjective/noun with emphatic -ఏ	draft
కూరలేమిటి	what curries (are there)? (కూర + ఏమిటి)	noun + interrogative	draft
గడియారాలలో	among the watches/clocks (from గడియారం)	noun — plural locative	draft
సేవు	while, length of time (for చాలా సేపు 'a long time')	noun (variant spelling of సేపు)	draft
బాబాయి	paternal uncle (father's younger brother)	noun	draft
పెరుగుతుంది	increases, grows (from పెరుగు)	verb — present/future, 3sg neut	draft
నెలలనించి	for/since (four) months; from నెల 'month' + నుండి 'since'	noun — plural + postposition	draft
పుస్తకాలున్నాయి	there are books (పుస్తకాలు + ఉన్నాయి)	noun + verb — present, 3pl	draft
తగలగానే	as soon as (it) touched/came in contact (from తగులు)	verb — as-soon-as form	draft
తగలలేదు	did not hit/strike (no blow landed)	verb — negative past of తగులు	draft
చేసుకుంటావు	do/make (for yourself) — from చేసుకొను, 2sg present-future	verb — present-future, 2sg	draft
చేరుద్దాం	let's enroll (her); we'll join — from చేరు 'join'	verb — hortative, 1pl	draft
చెట్లా	trees? (plural of చెట్టు + question marker ఆ)	noun — plural with interrogative clitic	draft
కుంటున్నాను	(I) am thinking/feeling — from అనుకొను, part of అనుకుంటున్నాను	verb — present continuous, 1sg	draft
చరా			ocr-junk
పైస	paisa (smallest coin); a penny	noun	draft
గుర్తురావటం	remembering, coming to mind (verbal noun of గుర్తురా)	verbal noun	draft
పదిమందిమి	we are ten (people)	numeral noun with 1pl ending, from పదిమంది 'ten people'	draft
